Journal Abbreviation,Journal Name,Article,Author,Year,Volume
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Retail power in distribution channels: A double-edged sword for upstream suppliers,"He, Yuhong; Ray, Saibal; Yin, Shuya",2022,31
JMS,JOURNAL OF MANAGEMENT STUDIES,Workers' Rites: Ritual Mediations and the Tensions of New Management,"Islam, Gazi; Sferrazzo, Roberta",2022,59
OR,OPERATIONS RESEARCH,How Endogenization of the Reference Point Affects Loss Aversion: A Study of Portfolio Selection,"He, Xue Dong; Strub, Moris S.",2022,70
ROFS,REVIEW OF FINANCIAL STUDIES,The State Price Density Implied by Crude Oil Futures and Option Prices,"Christoffersen, Peter; Jacobs, Kris; Pan, Xuhui (Nick)",2022,35
JAP,JOURNAL OF APPLIED PSYCHOLOGY,Counteracting the Effects of Performance Pressure on Cheating: A Self-Affirmation Approach,"Spoelma, Trevor M.",2022,107
ROFS,REVIEW OF FINANCIAL STUDIES,The Rise of Finance Companies and FinTech Lenders in Small Business Lending,"Gopal, Manasa; Schnabl, Philipp",2022,35
ROES,REVIEW OF ECONOMIC STUDIES,Coordination and Continuous Stochastic Choice,"Morris, Stephen; Yang, Ming",2022,89
JM,JOURNAL OF MARKETING,Identifying Market Structure: A Deep Network Representation Learning of Social Engagement,"Yang, Yi; Zhang, Kunpeng; Kannan, P. K.",2022,86
JFE,JOURNAL OF FINANCIAL ECONOMICS,The cross-section of investment and profitability: Implications for asset pricing,"Kilic, Mete; Yang, Louis; Zhang, Miao Ben",2022,145
MIT,MIT SLOAN MANAGEMENT REVIEW,Women Are Stalling Out on the Way to theTop,"Hamori, Monika; Bonet, Rocio; Cappelli, Peter; Sambare, Samidha",2022,64
AOS,ACCOUNTING ORGANIZATIONS AND SOCIETY,"Organizational responses to multiple logics: Diversity, identity and the professional service firm","Anderson-Gough, Fiona; Edgley, Carla; Robson, Keith; Sharma, Nina",2022,103
JCR,JOURNAL OF CONSUMER RESEARCH,Influencer-Generated Reference Groups,"Lee, Jeffrey K.; de Fortuny, Junque Enric",2022,49
SMJ,STRATEGIC MANAGEMENT JOURNAL,Alliance performance and subsequent make-or-ally choices: Evidence from the aircraft manufacturing industry,"Ren, Charlotte R.; Mulotte, Louis; Dussauge, Pierre; Anand, Jaideep",2022,43
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,Does differential taxation of short-term relative to long-term capital gains affect long-term investment?,"He, Eric; Jacob, Martin; Vashishtha, Rahul; Venkatachalam, Mohan",2022,74
MS,MANAGEMENT SCIENCE,Profit or Growth? Dynamic Order Allocation in a Hybrid Workforce,"He, Eryn Juan; Goh, Joel",2022,68
MS,MANAGEMENT SCIENCE,Michelin Is Coming to Town: Organizational Responses to Status Shocks,"Favaron, Saverio Dave; Di Stefano, Giada; Durand, Rodolphe",2022,68
SMJ,STRATEGIC MANAGEMENT JOURNAL,Health insurance benefits as a labor market friction: Evidence from a quasi-experiment,"Tsolmon, Ulya; Ariely, Dan",2022,43
MKTGSC,MARKETING SCIENCE,Beyond Consumer Switching: Supply Responses to Food Packaging and Advertising Regulations,"Ale-Chilet, Jorge; Moshary, Sarah",2022,41
JBE,JOURNAL OF BUSINESS ETHICS,Does A Virtuous Circle Really Exist? Revisiting the Causal Linkage Between CSP and CFP,"Zhao, Xiaoping; Murrell, Audrey",2022,177
ECMTR,ECONOMETRICA,DISCRETIZING UNOBSERVED HETEROGENEITY,"Bonhomme, Stephane; Lamadon, Thibaut; Manresa, Elena",2022,90
JFE,JOURNAL OF FINANCIAL ECONOMICS,Launching with a parachute: The gig economy and new business formation,"Barrios, John M.; Hochberg, Yael, V; Yi, Hanyi",2022,144
POM,PRODUCTION AND OPERATIONS MANAGEMENT,"Permeation of the term ""analytics"" in production and operations management research","Gupta, Sushil; Tekriwal, Medha; Parra, Carlos M.",2022,31
MKTGSC,MARKETING SCIENCE,Winning Big: Scale and Success in Retail Entrepreneurship,"Hollenbeck, Brett; Giroldo, Renato Zaterka",2022,41
ISR,INFORMATION SYSTEMS RESEARCH,Trial-Period Technostress: A Conceptual Definition and Mixed-Methods Investigation,"Maier, Christian; Laumer, Sven; Thatcher, Jason Bennett; Wirth, Jakob; Weitzel, Tim",2022,33
ROES,REVIEW OF ECONOMIC STUDIES,The Extensive Margin of Aggregate Consumption Demand,"Michelacci, Claudio; Paciello, Luigi; Pozzi, Andrea",2022,89
MISQ,MIS QUARTERLY,ENTERPRISE SYSTEMS AND M&A OUTCOMES FOR ACQUIRERS AND TARGETS,"Cao, Chengxin; Ray, Gautam; Subramani, Mani; Gupta, Alok",2022,46
RP,RESEARCH POLICY,Uncommon methods and metrics for local entrepreneurial ecosystems,"Feldman, Maryann; Fleming, Lee; Heaton, Sohvi; Desai, Sameeksha; Teece, David",2022,51
JIBS,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,Family-owned multinational enterprises in the post-pandemic global economy,"Calabro, Andrea; Chrisman, James J.; Kano, Liena",2022,53
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Credit Rating Prediction Through Supply Chains: A Machine Learning Approach,"Wu, Jing; Zhang, Zhaocheng; Zhou, Sean X.",2022,31
HR,HUMAN RELATIONS,Organizational socialization as kin-work: A psychoanalytic model of settling into a new job,"Gilmore, Sarah; Harding, Nancy",2022,75
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Let them stay or let them go? Online retailer pricing strategy for managing stockouts,"Zhang, Xingyue (Luna); Dearden, James A.; Yao, Yuliang",2022,31
POM,PRODUCTION AND OPERATIONS MANAGEMENT,When do group incentives for retail store managers work?,"Lee, Hyun Seok (Huck); Kesavan, Saravanan; Kuhnen, Camelia",2022,31
JIBS,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,"Multinationals, innovation, and institutional context: IPR protection and distance effects","Bruno, Randolph Luca; Crescenzi, Riccardo; Estrin, Saul; Petralia, Sergio",2022,53
JM,JOURNAL OF MARKETING,GMO Labeling Policy and Consumer Choice,"Kim, Youngju; Kim, SunAh; Arora, Neeraj",2022,86
ROFS,REVIEW OF FINANCIAL STUDIES,Social Proximity to Capital: Implications for Investors and Firms,"Kuchler, Theresa; Li, Yan; Peng, Lin; Stroebel, Johannes; Zhou, Dexin",2022,35
CAR,CONTEMPORARY ACCOUNTING RESEARCH,Do Audit Teams Affect Audit Production and Quality? Evidence from Audit Teams' Industry Knowledge,"Cahan, Steven F.; Che, Limei; Knechel, W. Robert; Svanstrom, Tobias",2022,39
JFE,JOURNAL OF FINANCIAL ECONOMICS,How voluntary information sharing systems form: Evidence from a US commercial credit bureau,"Liberti, Jose; Sturgess, Jason; Sutherland, Andrew",2022,145
JCR,JOURNAL OF CONSUMER RESEARCH,Consumers Value Effort over Ease When Caring for Close Others,"Garcia-Rada, Ximena; Steffel, Mary; Williams, Elanor F.; Norton, Michael, I",2022,48
MS,MANAGEMENT SCIENCE,Brand Capital and Stock Price Crash Risk,"Hasan, Mostafa Monzur; Taylor, Grantley; Richardson, Grant",2022,68
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,"Prepositioning and Local Purchasing for Emergency Operations Under Budget, Demand, and Supply Uncertainty","Eftekhar, Mahyar; Song, Jing-Sheng Jeannette; Webster, Scott",2022,24
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Resource Allocation with Sigmoidal Demands: Mobile Healthcare Units and Service Adoption,"Alban, Andres; Blaettchen, Philippe; de Vries, Harwin; Van Wassenhove, Luk N.",2022,24
JIBS,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,Transporting transparency: Director foreign experience and corporate information environment,"Liao, Guanmin; Ma, Mark (Shuai); Yu, Xiaoyun",2022,53
AMJ,ACADEMY OF MANAGEMENT JOURNAL,"OMG! MY BOSS JUST FRIENDED ME: HOW EVALUATIONS OF COLLEAGUES' DISCLOSURE, GENDER, AND RANK SHAPE PERSONAL/PROFESSIONAL BOUNDARY BLURRING ONLINE","Rothbard, Nancy P.; Ramarajan, Lakshmi; Ollier-Malaterre, Ariane; Lee, Serenity S.",2022,65
RFIN,REVIEW OF FINANCE,Political Beta*,"Fisman, Raymond; Knill, April; Mityakov, Sergey; Portnykh, Margarita",2022,26
MKTGSC,MARKETING SCIENCE,"Consumer Search, Price Promotions, and Counter-Cyclic Pricing","Haviv, Avery",2022,41
JF,JOURNAL OF FINANCE,"Rising Intangible Capital, Shrinking Debt Capacity, and the US Corporate Savings Glut","Falato, Antonio; Kadyrzhanova, Dalida; Sim, Jae; Steri, Roberto",2022,77
RP,RESEARCH POLICY,Interplay of policy experimentation and institutional change in sustainability transitions: The case of mobility as a service in Finland,"Kivimaa, Paula; Rogge, Karoline S.",2022,51
MS,MANAGEMENT SCIENCE,The Role of Marketplace Lending in Credit Markets: Evidence from Bank Mergers,"Avramidis, Panagiotis; Mylonopoulos, Nikolaos; Pennacchi, George G.",2022,68
JMS,JOURNAL OF MANAGEMENT STUDIES,"Organizational Dischronization: On Meaning and Meaninglessness, Sensemaking and Nonsensemaking","Alvesson, Mats; Jonsson, Anna",2022,59
RP,RESEARCH POLICY,The complex nature of regional knowledge production: Evidence on European regions,"Pintar, Nico; Scherngell, Thomas",2022,51
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Competition Between Hospitals Under Bundled Payments and Fee-for-Service: An Equilibrium Analysis of Insurer's Choice,"Han, Zheng; Arikan, Mazhar; Mallik, Suman",2022,24
RP,RESEARCH POLICY,Unpacking the process of resource allocation within an entrepreneurial ecosystem,"Shi, Xianwei; Shi, Yongjiang",2022,51
JMR,JOURNAL OF MARKETING RESEARCH,Observing Product Touch: The Vicarious Haptic Effect in Digital Marketing and Virtual Reality,"Luangrath, Andrea Webb; Peck, Joann; Hedgcock, William; Xu, Yixiang",2022,59
JMIS,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,"We Are All in This Together, or Are We? Job Strain and Coping in the Context of an E-Healthcare System Implementation","Sykes, Tracy Ann; Aljafari, Ruba",2022,39
OS,ORGANIZATION SCIENCE,"We Cannot Direct the Wind, but We Can Adjust the Sails: Prosocial Ventures' Responses to Potential Resource Threats","Mittermaier, Alexandra; Shepherd, Dean A.; Patzelt, Holger",2022,33
JBE,JOURNAL OF BUSINESS ETHICS,Contaminated Heart: Does Air Pollution Harm Business Ethics? Evidence from Earnings Manipulation,"Cho, Charles H.; Huang, Zhongwei; Liu, Siyi; Yang, Daoguang",2022,177
JIBS,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,Leaving the multinational: The likelihood and nature of employee mobility from MNEs,"Andersson, Martin; Castellani, Davide; Fassio, Claudio; Jienwatcharamongkhol, Viroj",2022,53
JMS,JOURNAL OF MANAGEMENT STUDIES,Will your Study Make the World A Better Place?,"Markman, Gideon D.",2022,59
RP,RESEARCH POLICY,Technological complexity and economic growth of regions,"Mewes, Lars; Broekel, Tom",2022,51
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Approximation schemes for the joint inventory selection and online resource allocation problem,"Chen, Xingxing; Feldman, Jacob; Kouvelis, Panos; Jung, Seung Hwan",2022,31
QJE,QUARTERLY JOURNAL OF ECONOMICS,WOULD ELIMINATING RACIAL DISPARITIES IN MOTOR VEHICLE SEARCHES HAVE EFFICIENCY COSTS?,"Feigenberg, Benjamin; Miller, Conrad",2022,137
ECMTR,ECONOMETRICA,Detecting <i>p</i>-Hacking,"Elliott, Graham; Kudrin, Nikolay; Wuthrich, Kaspar",2022,90
JFE,JOURNAL OF FINANCIAL ECONOMICS,Corporate flexibility in a time of crisis *,"Barry, John W.; Campello, Murillo; Graham, John R.; Ma, Yueran",2022,144
JBE,JOURNAL OF BUSINESS ETHICS,"Shareholder Engagement on Environmental, Social, and Governance Performance","Barko, Tamas; Cremers, Martijn; Renneboog, Luc",2022,180
RP,RESEARCH POLICY,Sitting on the Fence: Integrating the two worlds of scientific discovery and invention within the firm,"Sheer, Lia",2022,51
JAMS,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,"Consumer authenticity seeking: conceptualization, measurement, and contingent effects","Bartsch, Fabian; Zeugner-Roth, Katharina Petra; Katsikeas, Constantine S.",2022,50
OR,OPERATIONS RESEARCH,Advertising Cycling to Manage Exclusivity Loss in Fashion Styles,"Bruce, Norris I.; Krishnamoorthy, Anand; Prasad, Ashutosh",2022,70
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Finite-horizon approximate linear programs for capacity allocation over a rolling horizon,"Vossen, Thomas W. M.; You, Fan; Zhang, Dan",2022,31
MS,MANAGEMENT SCIENCE,Skill Acquisition and Data Sales,"Huang, Shiyang; Xiong, Yan; Yang, Liyan",2022,68
MS,MANAGEMENT SCIENCE,Find and Replace: R&D Investment Following the Erosion of Existing Products,"Krieger, Joshua L.; Li, Xuelin; Thakor, Richard T.",2022,68
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,COVID-19 and E-Commerce Operations: Evidence from Alibaba,"Han, Brian Rongqing; Sun, Tianshu; Chu, Leon Yang; Wu, Lixia",2022,24
MS,MANAGEMENT SCIENCE,Disclosure Sentiment: Machine Learning vs. Dictionary Methods,"Frankel, Richard; Jennings, Jared; Lee, Joshua",2022,68
JFE,JOURNAL OF FINANCIAL ECONOMICS,The cross section of the monetary policy announcement premium,"Ai, Hengjie; Han, Leyla Jianyu; Pan, Xuhui Nick; Xu, Lai",2022,143
OS,ORGANIZATION SCIENCE,Under Attack! CEO Implicit Motives and Firm Competitive Responses Following Short Seller Activism,"Shi, Wei; DesJardine, Mark R.",2022,33
HR,HUMAN RELATIONS,<i>'</i>And we gossip about my life as if I am not there': An autoethnography on recovery from infidelity and silence in the academic workplace,"van de Berg (pseudonym), Truus",2022,75
JBE,JOURNAL OF BUSINESS ETHICS,Not Just a Gender Numbers Game: How Board Gender Diversity Affects Corporate Risk Disclosure,"Seebeck, Andreas; Vetter, Julia",2022,177
ROFS,REVIEW OF FINANCIAL STUDIES,Cybersecurity Risk,"Florackis, Chris; Louca, Christodoulos; Michaely, Roni; Weber, Michael",2022,36
AMJ,ACADEMY OF MANAGEMENT JOURNAL,NO CHANGE IS AN ISLAND: HOW INTERFERENCES BETWEEN CHANGE INITIATIVES EVOKE INCONSISTENCIES THAT UNDERMINE IMPLEMENTATION,"Kanitz, Rouven; Quy Nguyen Huy; Backmann, Julia; Hoegl, Martin",2022,65
ROFS,REVIEW OF FINANCIAL STUDIES,Global Portfolio Rebalancing and Exchange Rates,"Camanho, Nelson; Hau, Harald; Rey, Helene",2022,35
ROFS,REVIEW OF FINANCIAL STUDIES,Contractual Restrictions and Debt Traps,"Liu, Ernest; Roth, Benjamin N.",2022,35
AR,ACCOUNTING REVIEW,"Outside Opportunities, Managerial Risk Taking, and CEO Compensation","Chen, Wen; Jung, Sumi; Peng, Xiaoxia; Zhang, Ivy Xiying",2022,97
MS,MANAGEMENT SCIENCE,Tax-Induced Inequalities in the Sharing Economy,"Cui, Yao; Davis, Andrew M.",2022,68
JBV,JOURNAL OF BUSINESS VENTURING,Regional social capital and moral hazard in crowdfunding,"Lin, Tse-Chun; Pursiainen, Vesa",2022,37
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Cross-Category Retailing Management: Substitution and Complementarity,"Ke, Chenxu; Wang, Ruxian",2022,24
MS,MANAGEMENT SCIENCE,Brand Spillover as a Marketing Strategy,"Wu, Xiaole; Zhang, Fuqiang; Zhou, Yu",2022,68
HRM,HUMAN RESOURCE MANAGEMENT,"The treatment of disabled individuals in small, medium-sized, and large firms","Bacon, Nick; Hoque, Kim",2022,61
OSTD,ORGANIZATION STUDIES,Mechanisms and Dynamics in the Interplay of Trust and Distrust: Insights from project-based collaboration,"Kostis, Angelos; Bengtsson, Maria; Nasholm, Malin H.",2022,43
JAR,JOURNAL OF ACCOUNTING RESEARCH,Audit Implications of Non-GAAP Reporting,"Hallman, Nicholas J.; Schmidt, Jaime J.; Thompson, Anne M.",2022,60
ROFS,REVIEW OF FINANCIAL STUDIES,Crowded Trades and Tail Risk,"Brown, Gregory W.; Howard, Philip; Lundblad, Christian T.",2022,35
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,Government subsidies and corporate disclosure*,"Huang, Ying",2022,74
JAMS,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,Consumer resource integration and service innovation in social commerce: the role of social media influencers,"Wu, Yao; Nambisan, Satish; Xiao, Jinghua; Xie, Kang",2022,50
RP,RESEARCH POLICY,We are in it together: Communitarianism and the performance-innovation relationship,"Ploeg, Matthias; Knoben, Joris; Vermeulen, Patrick",2022,51
JAR,JOURNAL OF ACCOUNTING RESEARCH,Coins for Bombs: The Predictive Ability of On-Chain Transfers for Terrorist Attacks,"Amiram, Dan; Jorgensen, Bjorn N.; Rabetti, Daniel",2022,60
JAMS,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,The effect of marketing department power on investor responses to announcements of AI-embedded new product innovations,"Padigar, Manjunath; Pupovac, Ljubomir; Sinha, Ashish; Srivastava, Rajendra",2022,50
JBE,JOURNAL OF BUSINESS ETHICS,The Impact of Structure and Corporate Ideology on Leader-Follower Relations in the Bureaucratic Organization: A Reflection on Moral Mazes,"Kakavelakis, Konstantinos; Edwards, Timothy James",2022,181
JFE,JOURNAL OF FINANCIAL ECONOMICS,"Ripples into waves: Trade networks, economic activity, and asset prices","Chang, Jeffery (Jinfan); Du, Huancheng; Lou, Dong; Polk, Christopher",2022,145
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Store-Brand Introduction and Multilateral Contracting,"Zheng, Quan; Jang, Hongseok; Pan, Xiajun Amy",2022,24
ISR,INFORMATION SYSTEMS RESEARCH,Competitive Poaching in Search Advertising: Two Randomized Field Experiments,"Bhattacharya, Siddharth; Gong, Jing; Wattal, Sunil",2022,33
HBR,HARVARD BUSINESS REVIEW,Corporate Political Spending Is Bad Business,"Lund, Dorothy S.; Strine, Leo E., Jr.",2022,100
ROES,REVIEW OF ECONOMIC STUDIES,The Welfare Effects of Transportation Infrastructure Improvements,"Allen, Treb; Arkolakis, Costas",2022,89
ISR,INFORMATION SYSTEMS RESEARCH,The Digital Undertow: How the Corollary Effects of Digital Transformation Affect Industry Standards,"Scott, Susan; Orlikowski, Wanda",2022,33
SEJ,STRATEGIC ENTREPRENEURSHIP JOURNAL,"Experimentation, planning, and structure in early-stage ventures: Evidence from pitch decks","Contigiani, Andrea; Young-Hyman, Trevor",2022,16
JBE,JOURNAL OF BUSINESS ETHICS,Fostering Social Impact Through Corporate Implementation of the SDGs: Transformative Mechanisms Towards Interconnectedness and Inclusiveness,"Fiandrino, Simona; Scarpa, Francesco; Torelli, Riccardo",2022,180
ISR,INFORMATION SYSTEMS RESEARCH,How Do Recommender Systems Lead to Consumer Purchases a A Causal Mediation Analysis of a Field Experiment,"Li, Xitong; Grahl, Joern; Hinz, Oliver",2022,33
JPE,JOURNAL OF POLITICAL ECONOMY,Non-Bayesian Persuasion,"de Clippel, Geoffroy; Zhang, Xu",2022,130
JBV,JOURNAL OF BUSINESS VENTURING,Will the startup succeed in your eyes? Venture evaluation of resource providers during entrepreneurs' informational signaling,"Wesley II, Curtis L.; Kong, Dejun Tony; Lubojacky, Connor J.; Saxton, M. Kim; Saxton, Todd",2022,37
JAP,JOURNAL OF APPLIED PSYCHOLOGY,"Measurement Specificity With Modern Methods: Using Dimensions, Facets, and Items From Personality Assessments to Predict Performance","Speer, Andrew B.; Christiansen, Neil D.; Robie, Chet; Jacobs, Rick R.",2022,107
JBE,JOURNAL OF BUSINESS ETHICS,A Newcomer Socialization Perspective on the Proliferation of Unethical Conduct in Organizations: The Influences of Peer Coaching Practices and Newcomers' Goal Orientations,"Liu, Xiangmin; Greenbaum, Rebecca L.; Allen, David; Zhang, Zhengtang",2022,176
SMJ,STRATEGIC MANAGEMENT JOURNAL,Multilevel optimal distinctiveness: Examining the impact of within- and between-organization distinctiveness of product design on market performance,"Bu, Juan; Zhao, Eric Yanfei; Li, Krista J.; Li, Joanna Mingxuan",2022,43
AER,AMERICAN ECONOMIC REVIEW,"Political Turnover, Bureaucratic Turnover, and the Quality of Public Services","Akhtari, Mitra; Moreira, Diana; Trucco, Laura",2022,112
AER,AMERICAN ECONOMIC REVIEW,Digital Addiction,"Allcott, Hunt; Gentzkow, Matthew; Song, Lena",2022,112
MISQ,MIS QUARTERLY,PRODUCT MEANING IN DIGITAL PRODUCT INNOVATION,"Wang, Gongtai; Henfridsson, Ola; Nandhakumar, Joe; Yoo, Youngjin",2022,46
OSTD,ORGANIZATION STUDIES,Entrepreneurial imagining: How a small team of arts entrepreneurs created the world's largest traveling carillon,"Elias, Sara R. S. T. A.; Chiles, Todd H.; Crawford, Brett",2022,43
RP,RESEARCH POLICY,Effects of catch-up and incumbent firms' SEP strategic manoeuvres,"Kim, Dong-hyu",2022,51
JAR,JOURNAL OF ACCOUNTING RESEARCH,Observing Enforcement: Evidence from Banking,"Kleymenova, Anya; Tomy, Rimmy E.",2022,60
MS,MANAGEMENT SCIENCE,"A Structural Model of a Multitasking Salesforce: Incentives, Private Information, and Job Design","Kim, Minkyung; Sudhir, K.; Uetake, Kosuke",2022,68
JMS,JOURNAL OF MANAGEMENT STUDIES,Researching for Desirable Futures: From Real Utopias to Imagining Alternatives,"Guemuesay, Ali Aslan; Reinecke, Juliane",2022,59
OS,ORGANIZATION SCIENCE,Category Evolution Under Conditions of Stigma: The Segregation of Abortion Provision into Specialist Clinics in the United States,"Augustine, Grace L.; Piazza, Alessandro",2022,33
JMR,JOURNAL OF MARKETING RESEARCH,"We Succeeded Together, Now What: Relationship Power and Sequential Decisions in Couples' Joint Goal Pursuits","Nikolova, Hristina; Nenkov, Gergana Y.",2022,59
JAR,JOURNAL OF ACCOUNTING RESEARCH,Predicting Future Earnings Changes Using Machine Learning and Detailed Financial Data,"Chen, Xi; Cho, Yang Ha (Tony); Dou, Yiwei; Lev, Baruch",2022,60
SMJ,STRATEGIC MANAGEMENT JOURNAL,"Pushed into a crowd: Repositioning costs, resources, and competition in the RTE cereal industry","Hou, Young; Yao, Dennis",2022,43
OS,ORGANIZATION SCIENCE,No-Fly Zone in the Loan Office: How Chief Executive Officers' Risky Hobbies Affect Credit Stakeholders' Evaluation of Firms,"Ouyang, Bo; Tang, Yi; Wang, Chong; Zhou, Jian",2022,33
MS,MANAGEMENT SCIENCE,Regulating Native Advertising,"Wu, Yue; Gal-Or, Esther; Geylani, Tansev",2022,68
JMS,JOURNAL OF MANAGEMENT STUDIES,Building Responsible Innovation in International Organizations through Intrapreneurship,"Ambos, Tina C.; Tatarinov, Katherine",2022,59
SEJ,STRATEGIC ENTREPRENEURSHIP JOURNAL,The impact of customer ties and industry segment maturity on business model adaptation in an emerging industry,"Denoo, Lien; Yli-Renko, Helena; Clarysse, Bart",2022,16
HR,HUMAN RELATIONS,Institutionalized affect in organizations: Not an oxymoron,"Ashforth, Blake E.; Humphrey, Ronald H.",2022,75
JIBS,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,How does successive inpatriation contribute to subsidiary capability building and subsidiary evolution? An organizational knowledge creation perspective,"Kim, Heejin; Reiche, B. Sebastian; Harzing, Anne-Wil",2022,53
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Pioneering role of the <i>Production and Operations Management</i> in promoting empirical research in operations management,"Roth, Aleda M.; Singhal, Vinod R.",2022,31
AMJ,ACADEMY OF MANAGEMENT JOURNAL,ENABLING RAPID FINANCIAL RESPONSE TO DISASTERS: KNOTTING AND REKNOTTING MULTIPLE PARADOXES IN INTERORGANIZATIONAL SYSTEMS,"Jarzabkowski, Paula; Bednarek, Rebecca; Chalkias, Konstantinos; Cacciatori, Eugenia",2022,65
HRM,HUMAN RESOURCE MANAGEMENT,The effects of negative mentoring experiences on mentor creativity: The roles of mentor ego depletion and traditionality,"Hu, Zhonghui; Li, Jinsong; Kwan, Ho Kwong",2022,61
OBHDP,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,The 1-in-X effect in perceptions of risk likelihood differences,"Suk, Kwanho; Hwang, Sanyoung; Jeong, Yunjoo",2022,170
ROES,REVIEW OF ECONOMIC STUDIES,Structural Breaks in an Endogenous Growth Model,"Cogley, Timothy; Jovanovic, Boyan",2022,89
JCR,JOURNAL OF CONSUMER RESEARCH,Why Are Donors More Generous with Time Than Money? The Role of Perceived Control over Donations on Charitable Giving,"Costello, John P.; Malkoc, Selin A.",2022,49
OSTD,ORGANIZATION STUDIES,"Watered Down: Market Growth, Authenticity, and Evaluation in Craft Beer","Pozner, Jo-Ellen; DeSoucey, Michaela; Verhaal, J. Cameron; Sikavica, Katarina",2022,43
OS,ORGANIZATION SCIENCE,Hierarchical Inconsistency: A Monitoring Mechanism to Reduce Securities Fraud in Emerging Markets,"Guo, Yidi; Luo, Xiaowei Rose; Li, Danyang",2022,33
OSTD,ORGANIZATION STUDIES,Theorizing Institutional Entrepreneuring: Arborescent and rhizomatic assembling,"Gehman, Joel; Sharma, Garima; Beveridge, Alim",2022,43
MS,MANAGEMENT SCIENCE,"Too Popular, Too Fast: Optimal Advertising and Entry Timing in Markets with Peer Influence","Fruchter, Gila E.; Prasad, Ashutosh; Van den Bulte, Christophe",2022,68
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Optimal queue length information disclosure when service quality is uncertain,"Guo, Pengfei; Haviv, Moshe; Luo, Zhenwei; Wang, Yulan",2022,31
ECMTR,ECONOMETRICA,Media Competition and Social Disagreement,"Perego, Jacopo; Yuksel, Sevgi",2022,90
JBE,JOURNAL OF BUSINESS ETHICS,"""Just Say You're Sorry"": Avoidance and Revenge Behavior in Response to Organizations Apologizing for Fraud","Wynes, Michael J.",2022,178
JMR,JOURNAL OF MARKETING RESEARCH,Risk on the Edge: The Effect of Relative Spatial Location on Consumer Preferences and Choices,"Esteky, Sina",2022,59
ECMTR,ECONOMETRICA,"MONETARY POLICY, REDISTRIBUTION, AND RISK PREMIA","Kekre, Rohan; Lenel, Moritz",2022,90
OR,OPERATIONS RESEARCH,Seeding with Costly Network Information,"Eckles, Dean; Esfandiari, Hossein; Mossel, Elchanan; Rahimian, M. Amin",2022,70
CAR,CONTEMPORARY ACCOUNTING RESEARCH,"Fool Me Once, Shame on You; Fool Me Twice, Shame on Me: The Long-Term Impact of Arthur Andersen's Demise on Partners' Audit Quality","Guo, Feng; Lisic, Ling Lei; Pittman, Jeffrey; Seidel, Timothy A.; Zhou, Mi; Zhou, Ying",2022,39
JMAN,JOURNAL OF MANAGEMENT,Voice Quality and Ostracism,"Ng, Thomas W. H.; Wang, Mo; Hsu, Dennis Y.; Su, Chang",2022,48
RP,RESEARCH POLICY,Is open innovation imprinted on new ventures? The cooperation-inhibiting legacy of authoritarian regimes,"Wyrwich, Michael; Steinberg, Philip J.; Noseleit, Florian; de Faria, Pedro",2022,51
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,Signaling private information via accounting system design,"Dordzhieva, Aysa; Laux, Volker; Zheng, Ronghuo",2022,74
JAP,JOURNAL OF APPLIED PSYCHOLOGY,"Ethical Conflict: Conceptualization, Measurement, and an Examination of Consequences","Brown, Michael E.; Vogel, Ryan M.; Akben, Mustafa",2022,107
AER,AMERICAN ECONOMIC REVIEW,A/B Contracts,"Georgiadis, George; Powell, Michael",2022,112
HBR,HARVARD BUSINESS REVIEW,Data Driven Diversity,"Williams, Joan C.; Dolkas, Jamie",2022,100
JBE,JOURNAL OF BUSINESS ETHICS,Brand as Promise,"Bhargava, Vikram R.; Bedi, Suneal",2022,179
JMR,JOURNAL OF MARKETING RESEARCH,A Reference-Dependent-Preferences-Based Model of Extended Warranty Purchase Decisions,"Lee, Hyeong-Tak; Venkataraman, Sriram",2022,59
